STOP_ID,STOP_NAME,STOP_TYPE,STOP_CENTER,STOP_ADMIN,STOP_REMARK,STOP_SHORTNAME,STOP_OLDID,STOP_SERVICEID,STOP_X,STOP_Y,STOP_ANGLE,STOP_IN_DISTANCE,STOP_OUT_DISTANCE,LINK_ID,STOP_LINK_X,STOP_LINK_Y,STOP_LINK_SEQNO,STOP_LINK_LENGTH,STOP_REVISIONNO,DR_CODE,STOP_INFO,STOP_ENAME,STOP_LINE_NUM
193063604,남부신협앞,8,0,울산광역시,,남부신협앞,0,63604,228194.7075,227250.8496,260,70,30,1930127400,228195.4228,227248.0128,1,44.2,916,3114051000,0,National Credit Union Federation of Korea (Nambu),19
193063606,울산공고후문,8,0,울산광역시,,울산공고후문,0,63606,228736.4422,227426.5679,260,70,30,1930154000,228737.5488,227424.1446,1,180.1,916,3114053000,0,Ulsan Technical H. S. Back Gate,15
193063608,월평로,8,0,울산광역시,신정시장,월평로,,63608,228369.86049972,227312.68465964,252,70,30,1930149200,228371.7326444,227305.08491448,1,41.7,986,0000000000,2,Wolpyeong-no Road,20
193063701,옥동중학교,8,0,울산광역시,,옥동중학교,0,40913,225791.6766,226744.8767,90,70,30,1930217802,225791.6926,226747.2436,1,212.7,916,3114060000,0,Okdong M. S.,11
193063710,법원,8,0,울산광역시,문수로방면,법원,,63710,226038.4275,226898.0791,91,70,30,1930234900,226042.2895,226893.1948,1,493.7,961,0,2,court,17
193063711,법원,8,0,울산광역시,법원종점,법원,,63711,226034.5706758,226878.79513827,91,70,30,1930235000,226033.94381198,226885.36302971,2,471.3,983,0,2,court,13
193063712,법조타운삼거리,8,0,울산광역시,문수로방면,법조타운삼거리,,63712,225695.1727,226736.7365,168,70,30,1930217703,225700.6693,226736.806,1,14.3,961,0,2,judicial officers town three-way intersection,12
193063713,법조타운삼거리,8,0,울산광역시,법원방면,법조타운삼거리,,63713,225708.02863602,226773.37605456,350,70,30,1930235000,225702.93129202,226770.16925693,1,18.3,983,0,2,judicial officers town three-way intersection,1
193063801,달동주공사거리,8,0,울산광역시,롯데백화점후문앞 방면,달동주공사거리,0,40801,230016.0702,226546.3883,80,70,30,1930092500,230015.0969,226549.2507,1,186.2,916,3114057000,0,Daldong Jugong Sageori,9
193063802,도성아파트후문,8,0,울산광역시,,도성아파트후문,0,63802,226844.7145,227121.1045,280,70,30,1930125802,226844.8239,227119.7048,1,183.9,916,3114058000,0,Doseong Apt. Back Gate,2
193063803,신정중학교앞,8,0,울산광역시,,신정중학교앞,0,63803,226465.8635,227162.0565,90,70,30,1930125701,226463.7075,227164.7612,1,135,916,3114058000,0,Sinjeong M. S.,2
193063804,신정중학교앞,8,0,울산광역시,,신정중학교앞,0,63804,226463.7335,227172.7016,270,70,30,1930125801,226463.4848,227170.9783,2,253.5,916,3114058000,0,Sinjeong M. S.,4
193063811,도성아파트앞,8,0,울산광역시,,도성아파트앞,0,40918,226879.7494,226879.161,100,70,30,1930086802,226879.7463,226880.1343,1,108.5,916,3114060000,0,Doseong Apt.,12
193063901,태화중학교(여천천),8,0,울산광역시,,태화중학교(여천천),0,63901,230999.2327,226313.1029,75,70,30,1930074800,230997.724,226319.3455,1,49.7,916,3114057000,0,Taehwa M. S. (Yeocheoncheon),10
193063902,여천2교앞,8,0,울산광역시,,여천2교앞,0,63902,230992.1332,226339.6236,260,70,30,1930074900,230994.2617,226330.3543,1,27.9,916,3114057000,0,Yeocheon 2Bridge,12
193063903,현대문화아파트,8,0,울산광역시,,현대문화아파트,0,63903,231277.5655,226394.5733,260,70,30,1930078000,231279.1722,226387.4484,1,45.6,916,3114057000,0,Hyundai Munhwa Apt.,8
193063904,현대문화아파트,8,0,울산광역시,,현대문화아파트,0,63904,231204.3877,226366.1178,75,70,30,1930077900,231204.0662,226367.4226,1,19.3,916,3114057000,0,Hyundai Munhwa Apt.,6
193064001,선암새마을금고앞,8,0,울산광역시,롯데백화점후문앞 방면,선암새마을금고앞,0,64001,230627.4286,224382.3345,310,70,30,1930224100,230626.0145,224380.1991,1,56.8,916,3114061500,0,Korea Foundation Cultural Center (Seonam),4
193064002,선암새마을금고앞,8,0,울산광역시,선암동주민센터 방면,선암새마을금고앞,0,64002,230620.8272,224372.9656,130,70,30,1930224000,230622.062,224374.4155,1,138.2,916,3114061500,0,Korea Foundation Cultural Center (Seonam),3
193064003,청강빌라,8,0,울산광역시,롯데백화점후문앞 방면,청강빌라,0,64003,230307.1389,224627.5047,336,70,30,1930223500,230303.8358,224626.3048,1,4.7,916,3114061500,0,Cheonggang Villa,20
193064004,청강빌라,8,0,울산광역시,선암동주민센터 방면,청강빌라,0,40865,230294.8988,224624.877,160,70,30,1930223400,230296.281,224625.6846,3,492.7,916,3114061500,0,Cheonggang Villa,14
193064005,선암저수지앞,8,0,울산광역시,롯데백화점후문앞 방면,선암저수지앞,0,64005,230193.8355,224777.5299,310,70,30,1930223500,230193.3646,224777.1952,2,192.5,916,3114061500,0,Seonam Reservoir,7
193064006,선암저수지앞,8,0,울산광역시,선암동주민센터 방면,선암저수지앞,0,64006,230187.8449,224771.4232,140,70,30,1930223400,230188.6097,224771.9341,2,310.4,916,3114061500,0,Seonam Reservoir,12
193064007,야음초등학교앞,8,0,울산광역시,롯데백화점후문앞 방면,야음초등학교앞,0,64007,229967.7873,224950.446,310,70,30,1930223500,229967.2445,224949.9248,3,486.9,916,3114062000,0,Yaeum Elem. School,18
193064008,야음초등학교앞,8,0,울산광역시,선암동주민센터 방면,야음초등학교앞,0,64008,229960.3678,224945.0061,140,70,30,1930223400,229961.4837,224945.9207,1,14.4,916,3114062000,0,Yaeum Elem. School,13
193064009,선암수변공원입구,8,0,울산광역시,롯데백화점후문앞 방면,선암수변공원입구,0,64009,229911.936,225056.1377,348,70,30,1930229601,229903.5953,225059.2193,1,17.2,945,3114062000,0,Seonam Subyeon Park Entrance,12
193064010,선암수변공원입구,8,0,울산광역시,선암동주민센터 방면,선암수변공원입구,0,64010,229890.7236,225055.4949,168,70,30,1930229701,229898.0453,225056.4623,1,99.3,945,3114062000,0,Seonam Subyeon Park Entrance,1
193064011,우주가든앞,8,0,울산광역시,시외고속버스터미널 방면,우주가든앞,0,40756,227264.8849,227102.8778,100,70,30,1930126100,227265.0324,227104.3176,1,157.4,916,3114051000,0,Uju Garden,6
193064012,우주가든앞,8,0,울산광역시,,우주가든앞,0,40771,227262.0195,227113.4315,280,70,30,1930126200,227261.6016,227110.3993,2,240.6,916,3114051000,0,Uju Garden,8
193064013,은월아파트앞,8,0,울산광역시,시외고속버스터미널 방면,은월아파트앞,0,40757,227457.834,227052.6634,100,70,30,1930126100,227458.3857,227054.3176,2,358,916,3114051000,0,Eunwol Apt.,19
193064014,은월아파트앞,8,0,울산광역시,,은월아파트앞,0,40770,227467.6734,227059.8554,130,70,30,1930126200,227466.9074,227058.257,1,27.9,916,3114051000,0,Eunwol Apt.,14
193064015,신한로얄멤버스아파트,8,0,울산광역시,,신한로얄멤버스아파트,0,40769,227590.9556,227041.0338,280,70,30,1930123000,227590.7741,227039.373,1,60.6,916,3114051000,0,Shinhan Royal Members Apt.,10
193064021,보현사입구,8,0,울산광역시,호수공원 축구장방면,보현사입구,,64021,229533.3272,224865.2264,0,70,30,1930234800,229539.137,224859.4849,1,440,945,0,2,bohyun temple ent.,7
193064022,보현사입구,8,0,울산광역시,SK스포츠센터 방면,보현사입구,,64022,229548.7544,224851.0848,27,70,30,1930234700,229543.0281,224853.6445,3,1128,945,0,2,bohyun temple ent.,7
193064023,호수공원축구장,8,0,울산광역시,노인복지관 방면,호수공원축구장,,64023,229118.0789,224486.6176,0,70,30,1930234800,229121.1277,224479.2804,2,1100,945,0,2,Lake Park soccer field,12
