MYBI_STOPID,MYBI_NAME,STOP_ID,STOP_X,STOP_Y,STOP_X2,STOP_Y2
3101494,학성초등학교앞,192030601,231231.73034,229231.00502,129.3444833,35.55956667
3101495,학성공원,192024302,230593.9503,228821.97064,129.3374333,35.5559
3101496,옥성초등학교앞,192024304,230499.62114,228566.45691,129.3363833,35.5536
3101497,학성배수장앞,192021613,230217.81583,228336.19689,129.3332667,35.55153333
3101498,풍적맨션앞,192021611,229712.89423,228388.13131,129.3277,35.55201667
3101499,성남동,192021605,228873.87962,228479.69008,129.31845,35.55286667
3101500,우정지하도앞,192021601,228104.69585,228477.23738,129.3099667,35.55286667
3101501,태화로타리,193031104,228065.90378,227837.29011,129.3095167,35.5471
3101502,신정시장앞,193031108,228197.20694,227414.2354,129.31095,35.54328333
3101503,시청앞,193031110,228328.8307,227024.2695,129.31239,35.53976
3101504,공업탑,193040403,,,,
3101505,롯데마트,193040408,,,,
3101506,굿모닝병원앞,193040410,,,,
3101507,현대해상앞,193040414,,,,
3101508,우방아파트앞,193023602,230360.51898,226365.42628,129.3347667,35.53376667
3101509,태화중학교앞,193023604,230838.25909,226337.47368,129.3400333,35.5335
3101510,시외버스터미널앞,193031717,,,,
3101511,공구월드앞,193023202,231050.31971,226645.17627,129.3423833,35.53626667
3101512,공구월드앞,193023201,231036.80623,226619.23971,129.3422333,35.53603333
3101513,시외버스터미널앞,193031718,,,,
3101514,태화중학교앞,193023603,230835.30282,226318.97106,129.34,35.53333333
3101515,우방아파트앞,193023601,230336.40046,226345.00243,129.3345,35.53358333
3101516,현대해상앞,193040413,,,,
3101517,달동현대아파트앞,193040411,,,,
3101518,굿모닝병원앞,193040409,,,,
3101519,롯데마트,193040407,,,,
3101521,시청앞,193031109,228325.8207,226947.9616,129.31235,35.53908
3101522,신정시장앞,193031105,228150.12485,227486.20592,129.3104333,35.54393333
3101523,태화로타리,193031101,227996.11537,227922.13497,129.30875,35.54786667
3101524,우정지하도앞,192021602,228146.91524,228505.10838,129.3104333,35.55311667
3101525,성남동,192021606,228967.53334,228491.08849,129.3194833,35.55296667
3101526,풍적맨션앞,192021612,229752.1267,228404.90474,129.3281333,35.55216667
3101527,학성배수장,192021614,230137.61647,228365.51374,129.3323833,35.5518
3101528,옥성초등학교앞,192024303,230466.83569,228433.20187,129.3360167,35.5524
3101529,학성공원,192024301,230646.66146,228875.77809,129.3380167,35.55638333
3101530,학성초등학교앞,192030602,231126.10478,229189.95324,129.3433167,35.5592
3101531,농심메가마트앞,195030606,232159.03415,229369.28757,129.3547167,35.56078333
3101532,효문사거리,195030610,232673.96632,229459.91891,129.3604,35.56158333
3101533,합동공업사,195030612,233478.11163,229387.07924,129.3692667,35.5609
3101534,효정고등학교입구,195030614,233791.08262,229338.32885,129.3727167,35.56045
3101535,현대출고사무소앞,195030616,234066.43323,229248.7626,129.37575,35.55963333
3101536,아랫율동,195030618,234386.4065,228954.11402,129.3792667,35.55696667
3101537,현대자동차정문,195030624,234899.53799,227572.88699,129.3848667,35.5445
3101538,현대자동차4공장앞,195030626,235046.52568,227088.96674,129.3864667,35.54013333
3101539,신전,195030628,235259.84212,226653.39079,129.3888,35.5362
3101540,염포동,195030632,235931.2525,225827.61455,129.3961667,35.52873333
3101541,성내,195030634,236210.78648,225482.93946,129.3992333,35.52561667
3101542,남목1동,194024210,238650.05926,227029.85361,129.4262,35.53946667
3101543,현대청운고앞,194024212,238988.62748,226683.66862,129.4299167,35.53633333
3101544,현대중공업미포문앞,194024214,239245.74339,226302.00384,129.4327333,35.53288333
3101545,녹수초등학교앞,194027102,,,,
3101546,동부도서관앞,194027104,,,,
3101547,현대중.고등학교앞,194027106,,,,
3101548,한마음회관.울산대학병원앞,194027108,,,,
3101549,남호그린아파트앞,194027112,,,,
3101550,전하아이파크,194027114,,,,
3101551,한라타워앞,194027116,,,,
3101552,동구청앞,194027118,237918.00765,223226.57349,129.41795,35.50521667
3101553,금강아파트앞,194027120,237816.45546,222926.57133,129.4168167,35.50251667
3101554,울산과학대학앞,194027122,237891.1559,222516.9536,129.41762,35.49882
3101555,화정주공아파트앞,194027124,237946.01848,221969.22735,129.4182,35.49388333
3101556,송정타워앞,194026702,237834.44882,221530.49262,129.41695,35.48993333
3101557,제일교회앞,194026704,238234.51698,220988.52437,129.4213333,35.48503333
3101558,우성현대아파트앞,194025005,238008.36348,220819.28469,129.4188333,35.48351667
3101559,비치타운앞,194025003,237685.95941,220518.35107,129.4152667,35.48081667
3101560,화암,194025001,237398.4035,220195.38442,129.4120833,35.47791667
3101561,꽃바위아파트,194026504,,,,
3101562,천곡마을입구,195014308,230020.28421,238079.08729,129.33145,35.63935
3101563,송정타워앞,194027126,237799.6598,221532.19529,129.4165667,35.48995
3101564,송정타워앞,194027125,237799.55053,221558.08337,129.4165667,35.49018333
3101565,구영리입구,196020744,221098.71655,230456.92704,129.23275,35.57088333
3101566,차량등록사업소,195014826,232392.4984623,230415.47683692,129.35727242,35.57022103
3101567,태화강역,193012310,231935.4682,226920.5771,129.35215,35.53872
3101568,삼주기업앞,195026338,233178.52796,231118.68237,129.3660333,35.57651667
3101569,모듈화산업단지입구,195026336,233629.72713,231257.21309,129.3710167,35.57775
3101570,상연암,195026334,234239.90137,231298.36656,129.37775,35.5781
3101571,옥천암입구,195026332,234773.11142,231317.0709,129.3836333,35.57825
3101572,무룡고개,195026330,236276.61127,231607.83685,129.4002333,35.58081667
3101574,무룡고개,195026329,236247.975,231592.9259,129.3999167,35.58068333
3101575,옥천암입구,195026331,234739.8029,231337.28234,129.3832667,35.57843333
3101576,상연암,195026333,234214.17993,231309.36329,129.3774667,35.5782
3101577,모듈화산업단지입구,195026335,233818.8701,231266.2217,129.3731,35.57782
